TrajID,E,N,DatetimeUTC
1,2571414.0080999993,1205804.1700000018,2015-03-01T12:01:00Z
1,2571396.016399998,1205791.4699999988,2015-03-01T12:02:00Z
1,2571372.732999999,1205770.3033000007,2015-03-01T12:03:00Z
1,2571347.332899999,1205753.3698999994,2015-03-01T12:04:00Z
1,2571335.691300001,1205743.8449000008,2015-03-01T12:05:00Z
1,2571320.8746000007,1205732.2032000013,2015-03-01T12:06:00Z
1,2571303.9411999993,1205722.678199999,2015-03-01T12:07:00Z
1,2571284.8911000006,1205705.7448999994,2015-03-01T12:08:00Z
1,2571253.1411000006,1205694.1031999998,2015-03-01T12:09:00Z
1,2571219.2743999995,1205673.9948000014,2015-03-01T12:10:00Z
1,2571189.640999999,1205652.8280999996,2015-03-01T12:11:00Z
1,2571169.5326000005,1205632.7197000012,2015-03-01T12:12:00Z
1,2571145.1909000017,1205614.7280000001,2015-03-01T12:13:00Z
1,2571113.4408,1205595.6779999994,2015-03-01T12:14:00Z
1,2571067.9323999994,1205579.8029000014,2015-03-01T12:15:00Z
1,2571048.8823000006,1205563.9279000014,2015-03-01T12:16:00Z
1,2571027.715599999,1205548.0529000014,2015-03-01T12:17:00Z
1,2571003.3739,1205534.2945000008,2015-03-01T12:18:00Z
1,2570973.7404999994,1205518.4195000008,2015-03-01T12:19:00Z
1,2570953.632199999,1205504.6611000001,2015-03-01T12:20:00Z
1,2570928.2320999987,1205483.4943999983,2015-03-01T12:21:00Z
1,2570899.6570000015,1205465.502700001,2015-03-01T12:22:00Z
1,2570871.0819999985,1205442.2193000019,2015-03-01T12:23:00Z
1,2570825.5736000016,1205409.4109000005,2015-03-01T12:24:00Z
1,2570790.648499999,1205390.3608999997,2015-03-01T12:25:00Z
1,2570765.248399999,1205377.6609000005,2015-03-01T12:26:00Z
1,2570728.206700001,1205343.7941000015,2015-03-01T12:27:00Z
1,2570698.5733000003,1205318.3940999992,2015-03-01T12:28:00Z
1,2570623.431499999,1205288.7606999986,2015-03-01T12:29:00Z
1,2570572.6314000003,1205255.952300001,2015-03-01T12:30:00Z
1,2570518.656300001,1205224.2021999992,2015-03-01T12:31:00Z
1,2570477.3812000006,1205194.5687999986,2015-03-01T12:32:00Z
1,2570433.9893999994,1205167.052099999,2015-03-01T12:33:00Z
1,2570412.8227000013,1205152.2353999987,2015-03-01T12:34:00Z
1,2570389.5394,1205177.635499999,2015-03-01T12:35:00Z
1,2570376.839299999,1205195.6272,2015-03-01T12:36:00Z
1,2570369.4310000017,1205213.618900001,2015-03-01T12:37:00Z
1,2570318.6308999993,1205294.0524000004,2015-03-01T12:38:00Z
1,2570213.855700001,1205430.5775999986,2015-03-01T12:39:00Z
1,2570130.247200001,1205542.7611999996,2015-03-01T12:40:00Z
1,2569963.030200001,1205755.4866000004,2015-03-01T12:41:00Z
1,2569825.4466000013,1205952.3370000012,2015-03-01T12:42:00Z
1,2569691.037999999,1206124.8456999995,2015-03-01T12:43:00Z
1,2569530.171,1206360.8544999994,2015-03-01T12:44:00Z
1,2569416.9290999994,1206486.7963999994,2015-03-01T12:45:00Z
1,2569302.628899999,1206502.6713999994,2015-03-01T12:46:00Z
1,2569259.2371000014,1206555.5881999992,2015-03-01T12:47:00Z
2,2571408.1871999986,1205817.9283999987,2015-03-01T12:01:00Z
2,2571282.2452999987,1205730.0865999982,2015-03-01T12:02:00Z
2,2571136.1950000003,1205624.2529999986,2015-03-01T12:03:00Z
2,2570946.7529999986,1205514.1860999987,2015-03-01T12:04:00Z
2,2570783.769299999,1205400.9442000017,2015-03-01T12:05:00Z
2,2570639.8357000016,1205315.2190999985,2015-03-01T12:06:00Z
2,2570499.0771000013,1205236.9021999985,2015-03-01T12:07:00Z
2,2570400.651900001,1205144.8271000013,2015-03-01T12:08:00Z
2,2570376.839299999,1205195.6272,2015-03-01T12:09:00Z
2,2570353.026799999,1205225.2606000006,2015-03-01T12:10:00Z
2,2570328.6851000004,1205259.1273000017,2015-03-01T12:11:00Z
2,2570306.460000001,1205286.6440000013,2015-03-01T12:12:00Z
2,2570289.526700001,1205315.2190999985,2015-03-01T12:13:00Z
2,2570262.0099,1205353.3191,2015-03-01T12:14:00Z
2,2570228.143199999,1205394.5942000002,2015-03-01T12:15:00Z
2,2570198.5097999983,1205433.7525999993,2015-03-01T12:16:00Z
2,2570161.4681,1205482.4360999987,2015-03-01T12:17:00Z
2,2570127.601300001,1205524.7694999985,2015-03-01T12:18:00Z
2,2570105.3762999997,1205568.1612000018,2015-03-01T12:19:00Z
2,2570077.8596,1205605.2030000016,2015-03-01T12:20:00Z
2,2570057.7512000017,1205633.7780000009,2015-03-01T12:21:00Z
2,2570022.8260999992,1205675.053100001,2015-03-01T12:22:00Z
2,2569992.134399999,1205716.3282000013,2015-03-01T12:23:00Z
2,2569956.1510000005,1205771.3616000004,2015-03-01T12:24:00Z
2,2569920.1675999984,1205830.6284000017,2015-03-01T12:25:00Z
2,2569895.8258999996,1205864.4952000007,2015-03-01T12:26:00Z
2,2569868.3090999983,1205911.061900001,2015-03-01T12:27:00Z
2,2569847.1424000002,1205937.520300001,2015-03-01T12:28:00Z
2,2569805.8674000017,1205993.6121000014,2015-03-01T12:29:00Z
2,2569781.525600001,1206019.0121,2015-03-01T12:30:00Z
2,2569750.833900001,1206054.9956,2015-03-01T12:31:00Z
2,2569725.4338999987,1206085.6873000003,2015-03-01T12:32:00Z
2,2569691.037999999,1206124.8456999995,2015-03-01T12:33:00Z
2,2569668.2837000005,1206160.8291000016,2015-03-01T12:34:00Z
2,2569640.767000001,1206194.695799999,2015-03-01T12:35:00Z
2,2569606.9003,1206248.6708999984,2015-03-01T12:36:00Z
2,2569580.4419,1206282.5377000012,2015-03-01T12:37:00Z
2,2569552.9252000004,1206319.5793999992,2015-03-01T12:38:00Z
2,2569518.0001000017,1206352.3878000006,2015-03-01T12:39:00Z
2,2569484.1334000006,1206400.0128999986,2015-03-01T12:40:00Z
2,2569455.5582999997,1206442.3462999985,2015-03-01T12:41:00Z
2,2569423.8082999997,1206468.8046999983,2015-03-01T12:42:00Z
2,2569388.883200001,1206481.5047000013,2015-03-01T12:43:00Z
2,2569347.608100001,1206482.563099999,2015-03-01T12:44:00Z
2,2569313.7413999997,1206482.563099999,2015-03-01T12:45:00Z
2,2569290.4580000006,1206495.2630999982,2015-03-01T12:46:00Z
2,2569277.7580000013,1206540.7714999989,2015-03-01T12:47:00Z
2,2569231.1911999993,1206553.4715000018,2015-03-01T12:48:00Z
3,2569231.1911999993,1206553.4715000018,2015-03-01T12:01:00Z
3,2569307.391399998,1206554.5298999995,2015-03-01T12:02:00Z
3,2569387.8249000013,1206518.546500001,2015-03-01T12:03:00Z
3,2569455.5582999997,1206442.3462999985,2015-03-01T12:04:00Z
3,2569518.0001000017,1206352.3878000006,2015-03-01T12:05:00Z
3,2569624.892000001,1206237.0291999988,2015-03-01T12:06:00Z
3,2569691.037999999,1206124.8456999995,2015-03-01T12:07:00Z
3,2569750.833900001,1206054.9956,2015-03-01T12:08:00Z
3,2569805.8674000017,1205993.6121000014,2015-03-01T12:09:00Z
3,2569847.1424000002,1205937.520300001,2015-03-01T12:10:00Z
3,2569895.8258999996,1205864.4952000007,2015-03-01T12:11:00Z
3,2569908.7905,1205843.328499999,2015-03-01T12:12:00Z
3,2569930.2217999995,1205809.1970999986,2015-03-01T12:13:00Z
3,2569977.846900001,1205738.5533000007,2015-03-01T12:14:00Z
3,2570015.1532000005,1205699.6594000012,2015-03-01T12:15:00Z
3,2570040.553199999,1205658.384300001,2015-03-01T12:16:00Z
3,2570092.9408,1205585.3592000008,2015-03-01T12:17:00Z
3,2570148.5034999996,1205513.921599999,2015-03-01T12:18:00Z
3,2570190.5722999983,1205458.3588999994,2015-03-01T12:19:00Z
3,2570246.1349,1205380.5713,2015-03-01T12:20:00Z
3,2570282.647500001,1205336.121199999,2015-03-01T12:21:00Z
3,2570324.7162999995,1205275.0023000017,2015-03-01T12:22:00Z
3,2570344.5601000004,1205240.077300001,2015-03-01T12:23:00Z
3,2570395.360199999,1205190.8647000007,2015-03-01T12:24:00Z
3,2570431.8728,1205151.177099999,2015-03-01T12:25:00Z
3,2570476.322900001,1205166.2584000006,2015-03-01T12:26:00Z
3,2570520.772999998,1205192.4521999992,2015-03-01T12:27:00Z
3,2570574.7481000014,1205226.5835000016,2015-03-01T12:28:00Z
3,2570629.516899999,1205259.921,2015-03-01T12:29:00Z
3,2570669.998300001,1205288.496100001,2015-03-01T12:30:00Z
3,2570719.210900001,1205313.8962000012,2015-03-01T12:31:00Z
3,2570787.4734999985,1205360.727499999,2015-03-01T12:32:00Z
3,2570841.4486000016,1205394.0650999993,2015-03-01T12:33:00Z
3,2570891.4549000002,1205433.7525999993,2015-03-01T12:34:00Z
3,2570931.142499998,1205459.1526999995,2015-03-01T12:35:00Z
3,2570978.7676,1205497.252799999,2015-03-01T12:36:00Z
3,2571024.011500001,1205530.5903000012,2015-03-01T12:37:00Z
3,2571073.224100001,1205559.1653999984,2015-03-01T12:38:00Z
3,2571130.3742000014,1205602.0280000009,2015-03-01T12:39:00Z
3,2571181.1743,1205662.3531000018,2015-03-01T12:40:00Z
3,2571226.4180999994,1205697.2782000005,2015-03-01T12:41:00Z
3,2571254.9932000004,1205727.4406999983,2015-03-01T12:42:00Z
3,2571286.7432000004,1205751.2533,2015-03-01T12:43:00Z
3,2571325.6371,1205781.4158000015,2015-03-01T12:44:00Z
3,2571366.9120999984,1205815.5472000018,2015-03-01T12:45:00Z
3,2571411.3621999994,1205840.9472000003,2015-03-01T12:46:00Z
4,2571402.432500001,1205846.6358000003,2015-03-01T12:01:00Z
4,2571382.9855999984,1205824.4107000008,2015-03-01T12:02:00Z
4,2571340.1229999997,1205783.5324999988,2015-03-01T12:03:00Z
4,2571305.594799999,1205759.7199999988,2015-03-01T12:04:00Z
4,2571271.4635000005,1205739.4792999998,2015-03-01T12:05:00Z
4,2571230.9822000004,1205718.0480000004,2015-03-01T12:06:00Z
4,2571190.8977000006,1205696.2197999991,2015-03-01T12:07:00Z
4,2571150.4164000005,1205666.4541000016,2015-03-01T12:08:00Z
4,2571107.5538000017,1205625.5758999996,2015-03-01T12:09:00Z
4,2571047.625599999,1205585.0945999995,2015-03-01T12:10:00Z
4,2571021.8286000006,1205568.0289999992,2015-03-01T12:11:00Z
4,2570976.5848000012,1205542.628899999,2015-03-01T12:12:00Z
4,2570932.1347000003,1205505.3225999996,2015-03-01T12:13:00Z
4,2570886.097100001,1205474.7630999982,2015-03-01T12:14:00Z
4,2570853.5533000007,1205447.3786999993,2015-03-01T12:15:00Z
4,2570804.7375999987,1205419.5973999985,2015-03-01T12:16:00Z
4,2570759.4937000014,1205387.4505000003,2015-03-01T12:17:00Z
4,2570717.424899999,1205353.3191,2015-03-01T12:18:00Z
4,2570688.0560999997,1205335.4596999995,2015-03-01T12:19:00Z
4,2570657.099800002,1205308.0753000006,2015-03-01T12:20:00Z
4,2570609.8715999983,1205278.7065000013,2015-03-01T12:21:00Z
4,2570571.3746000007,1205248.1471000016,2015-03-01T12:22:00Z
4,2570540.418299999,1205225.9219999984,2015-03-01T12:23:00Z
4,2570517.399500001,1205207.6656999998,2015-03-01T12:24:00Z
4,2570474.536899999,1205178.6937999986,2015-03-01T12:25:00Z
4,2570441.9930999987,1205155.2780999988,2015-03-01T12:26:00Z
4,2570391.9868,1205159.2468999997,2015-03-01T12:27:00Z
4,2570361.8242000006,1205199.3313000016,2015-03-01T12:28:00Z
4,2570339.202300001,1205231.4783000015,2015-03-01T12:29:00Z
4,2570314.199099999,1205274.7377000004,2015-03-01T12:30:00Z
4,2570275.7021999992,1205324.7441000007,2015-03-01T12:31:00Z
4,2570257.0489999987,1205380.7036000006,2015-03-01T12:32:00Z
4,2570233.2364000008,1205412.0568000004,2015-03-01T12:33:00Z
4,2570208.6301000006,1205454.125599999,2015-03-01T12:34:00Z
4,2570162.195700001,1205513.2600999996,2015-03-01T12:35:00Z
4,2570124.8893,1205560.4882999994,2015-03-01T12:36:00Z
4,2570105.045600001,1205589.8570999987,2015-03-01T12:37:00Z
4,2570075.2798999995,1205624.3852999993,2015-03-01T12:38:00Z
4,2570035.1953999996,1205677.1697999984,2015-03-01T12:39:00Z
4,2570006.2234999985,1205720.429299999,2015-03-01T12:40:00Z
4,2569977.251600001,1205759.7199999988,2015-03-01T12:41:00Z
4,2569948.6765,1205807.3451000005,2015-03-01T12:42:00Z
4,2569933.1983000003,1205830.3638999984,2015-03-01T12:43:00Z
4,2569974.4734000005,1205868.8608000018,2015-03-01T12:44:00Z
4,2570015.351599999,1205891.4827000014,2015-03-01T12:45:00Z
4,2570060.9923,1205925.614,2015-03-01T12:46:00Z
4,2570091.5518000014,1205947.8390999995,2015-03-01T12:47:00Z
4,2570130.4455999993,1205973.636,2015-03-01T12:48:00Z
4,2570170.9268999994,1205997.0516999997,2015-03-01T12:49:00Z
5,2571392.3121999986,1205822.4924999997,2015-03-01T12:01:00Z
5,2571377.0986,1205807.2789000012,2015-03-01T12:02:00Z
5,2571353.9475000016,1205793.3883000016,2015-03-01T12:03:00Z
5,2571321.5359999985,1205765.6070000008,2015-03-01T12:04:00Z
5,2571305.594799999,1205759.7199999988,2015-03-01T12:05:00Z
5,2571293.093199998,1205741.794399999,2015-03-01T12:06:00Z
5,2571269.9422000013,1205726.5808000006,2015-03-01T12:07:00Z
5,2571246.791099999,1205706.7369999997,2015-03-01T12:08:00Z
5,2571199.827399999,1205677.6328000017,2015-03-01T12:09:00Z
5,2571168.077399999,1205657.1275999993,2015-03-01T12:10:00Z
5,2571134.3429000005,1205639.268199999,2015-03-01T12:11:00Z
5,2571116.4835,1205625.3775000013,2015-03-01T12:12:00Z
5,2571095.9783000015,1205611.4869000018,2015-03-01T12:13:00Z
5,2571069.5199000016,1205598.9191000015,2015-03-01T12:14:00Z
5,2571033.8011000007,1205577.0909000002,2015-03-01T12:15:00Z
5,2571009.3271000013,1205557.9085999988,2015-03-01T12:16:00Z
5,2570980.884300001,1205533.4345999993,2015-03-01T12:17:00Z
5,2570947.149799999,1205523.512699999,2015-03-01T12:18:00Z
5,2570932.1347000003,1205505.3225999996,2015-03-01T12:19:00Z
5,2570899.524799999,1205486.4710000008,2015-03-01T12:20:00Z
5,2570876.3737000003,1205471.2573999986,2015-03-01T12:21:00Z
5,2570853.8839999996,1205454.7208999991,2015-03-01T12:22:00Z
5,2570822.795400001,1205435.5386000015,2015-03-01T12:23:00Z
5,2570795.6755999997,1205415.6948000006,2015-03-01T12:24:00Z
5,2570771.8630000018,1205406.4343999997,2015-03-01T12:25:00Z
5,2570759.4937000014,1205387.4505000003,2015-03-01T12:26:00Z
5,2570722.2536000013,1205374.6843000017,2015-03-01T12:27:00Z
5,2570686.534699999,1205342.9342,2015-03-01T12:28:00Z
5,2570657.4305000007,1205315.1528999992,2015-03-01T12:29:00Z
5,2570636.9252999984,1205276.7883000001,2015-03-01T12:30:00Z
5,2570595.9147999994,1205250.9913000017,2015-03-01T12:31:00Z
5,2570553.5813999996,1205224.5329999998,2015-03-01T12:32:00Z
5,2570521.8313000016,1205200.7204000019,2015-03-01T12:33:00Z
5,2570494.7113999985,1205179.5537,2015-03-01T12:34:00Z
5,2570449.070700001,1205151.7723999992,2015-03-01T12:35:00Z
5,2570419.966499999,1205133.9129999988,2015-03-01T12:36:00Z
5,2570406.737300001,1205180.876600001,2015-03-01T12:37:00Z
5,2570390.2008000016,1205204.689199999,2015-03-01T12:38:00Z
5,2570381.6017999984,1205224.5329999998,2015-03-01T12:39:00Z
5,2570359.773699999,1205251.6528000012,2015-03-01T12:40:00Z
5,2570331.3308999985,1205305.8924999982,2015-03-01T12:41:00Z
5,2570240.0494999997,1205440.8302999996,2015-03-01T12:42:00Z
5,2570140.830499999,1205561.2159000002,2015-03-01T12:43:00Z
5,2569985.3874999993,1205762.2996999994,2015-03-01T12:44:00Z
5,2569273.921500001,1205488.3231000006,2015-03-01T12:45:00Z
5,2569895.8258999996,1205864.4952000007,2015-03-01T12:46:00Z
5,2569861.8268,1205890.7551000006,2015-03-01T12:47:00Z
5,2569808.2485999987,1205948.9635999985,2015-03-01T12:48:00Z
5,2569679.2639999986,1206114.328499999,2015-03-01T12:49:00Z
5,2569517.867800001,1206344.5163999982,2015-03-01T12:50:00Z
5,2569404.758200001,1206476.8084000014,2015-03-01T12:51:00Z
5,2569304.216400001,1206483.4230000004,2015-03-01T12:52:00Z
6,2571396.4131999984,1205821.1695999987,2015-03-01T12:01:00Z
6,2571371.277800001,1205807.2789000012,2015-03-01T12:02:00Z
6,2571346.1422999986,1205789.4195000008,2015-03-01T12:03:00Z
6,2571328.282900002,1205776.8517999984,2015-03-01T12:04:00Z
6,2571313.0692999996,1205765.6070000008,2015-03-01T12:05:00Z
6,2571301.1631000005,1205755.023600001,2015-03-01T12:06:00Z
6,2571287.272399999,1205746.4246000014,2015-03-01T12:07:00Z
6,2571271.397399999,1205735.8412999995,2015-03-01T12:08:00Z
6,2571249.5692000017,1205724.5965000018,2015-03-01T12:09:00Z
6,2571217.1576999985,1205708.0599999987,2015-03-01T12:10:00Z
6,2571181.4389000013,1205684.9089000002,2015-03-01T12:11:00Z
6,2571145.058600001,1205663.080699999,2015-03-01T12:12:00Z
6,2571122.5689000003,1205643.8984000012,2015-03-01T12:13:00Z
6,2571098.7564000003,1205624.0546000004,2015-03-01T12:14:00Z
6,2571054.4386,1205610.163899999,2015-03-01T12:15:00Z
6,2571035.2562999986,1205581.7212000005,2015-03-01T12:16:00Z
6,2571008.7978999987,1205565.8460999988,2015-03-01T12:17:00Z
6,2570983.6624,1205550.6325999983,2015-03-01T12:18:00Z
6,2570960.5113000013,1205536.0804000013,2015-03-01T12:19:00Z
6,2570938.6832000017,1205521.5282999985,2015-03-01T12:20:00Z
6,2570906.9331,1205495.0700000003,2015-03-01T12:21:00Z
6,2570885.1048999988,1205480.5177999996,2015-03-01T12:22:00Z
6,2570850.047600001,1205458.0282000005,2015-03-01T12:23:00Z
6,2570813.667300001,1205438.8458999991,2015-03-01T12:24:00Z
6,2570785.2245000005,1205419.0020999983,2015-03-01T12:25:00Z
6,2570752.1515000015,1205401.8040999994,2015-03-01T12:26:00Z
6,2570725.6931999996,1205364.1009000018,2015-03-01T12:27:00Z
6,2570689.3128999993,1205336.9811000004,2015-03-01T12:28:00Z
6,2570596.7085000016,1205303.9081000015,2015-03-01T12:29:00Z
6,2570551.0678000003,1205254.9600999989,2015-03-01T12:30:00Z
6,2570515.3489999995,1205204.689199999,2015-03-01T12:31:00Z
6,2570484.9217999987,1205176.2463999987,2015-03-01T12:32:00Z
6,2570442.588399999,1205156.4026000015,2015-03-01T12:33:00Z
6,2570410.838399999,1205131.9285999984,2015-03-01T12:34:00Z
6,2570379.088300001,1205166.9860000014,2015-03-01T12:35:00Z
6,2570365.1975999996,1205187.4912,2015-03-01T12:36:00Z
6,2570355.275699999,1205208.6579000019,2015-03-01T12:37:00Z
6,2570297.0672999993,1205288.6944999993,2015-03-01T12:38:00Z
6,2570215.0463000014,1205410.4030999988,2015-03-01T12:39:00Z
6,2570109.8742000014,1205553.2784000002,2015-03-01T12:40:00Z
6,2569973.613499999,1205741.1328999996,2015-03-01T12:41:00Z
6,2569839.9987000003,1205958.7531999983,2015-03-01T12:42:00Z
6,2569701.092099998,1206136.685800001,2015-03-01T12:43:00Z
6,2569519.1906999983,1206351.6601999998,2015-03-01T12:44:00Z
6,2569408.727000002,1206477.9990000017,2015-03-01T12:45:00Z
6,2569316.1226000004,1206482.6292000003,2015-03-01T12:46:00Z
6,2569273.127799999,1206543.4835,2015-03-01T12:47:00Z
